income,surface_structure_coherence_mean,surface_structure_disorderliness_mean,surface_roughness_disorderliness_mean,colour_saturation_mean,colour_hue_coherence_mean,colour_hue_disorderliness_mean,tcap_wetness_mean,tcap_greenness_std,nir_band_mean,colour_brightness_coherence_mean,colour_brightness_disorderliness_mean,ndwi_wetness_contrast_mean,ndwi_wetness_coherence_std,tcap_wetness_disorderliness_mean,tcap_built_coherence_std
671,0.673360857,4.590005115,0.040394013,171.5145005,0.172947092,6.427017556,-575.646269,405.5969004,1945.021481,0.733200002,4.478510359,166.901124,0.05823723,8.077380403,0.030471663
671,0.715556465,5.439342461,0.446449976,155.726464,0.18008089,6.447904585,-1009.746737,556.3639538,1957.89029,0.715239317,5.286962057,242.3322756,0.061820306,8.084790494,0.053257986
671,0.663164232,4.2124625,0.096661023,186.5088565,0.44800939,6.17785279,-408.5615811,680.9248095,2475.711025,0.77181394,4.166553368,138.8052433,0.071058785,8.07869765,0.051993268
672,0.72025573,5.528183187,0.424701988,169.7117834,0.168614605,6.520706691,-623.8347666,423.6282505,1898.638534,0.686590935,4.957510236,260.2128076,0.066695894,8.080808687,0.027565126
672,0.728924252,5.570361536,0.495391926,174.4066812,0.389055681,6.59801893,-691.4043124,681.0627282,1970.4321,0.735467551,4.942596033,237.1857011,0.064887285,8.081406049,0.034021906
673,0.78821014,4.414671859,0.355330808,161.5150892,0.279267701,6.665971872,-502.7874237,546.4731382,1908.211936,0.671784965,5.275115833,292.7856257,0.043566926,8.080378904,0.046830106
675,0.700264946,3.432712478,0.440107989,157.0026774,0.296614198,6.916890565,-615.0733503,641.5626865,1921.405622,0.56761897,5.615587556,461.8122872,0.020251241,8.081734585,0.020910676
675,0.822362701,4.477954552,0.542524016,166.9318996,0.46927738,6.794107453,-604.9191121,633.0154421,1950.58901,0.661332657,5.122952292,403.7291708,0.072977312,8.064588806,0.088122886
677,0.72444909,5.671998643,0.751720024,185.0206053,0.227805535,6.446915865,-596.3113647,819.3625101,2454.700797,0.744944926,5.199222633,212.1360309,0.050953015,8.080811633,0.048894457
678,0.681077771,5.594140897,0.978759777,157.5351563,0.211877104,6.729605485,-716.7026196,547.7226781,1800.644533,0.623693634,5.82024843,357.1969994,0.024642754,8.082360022,0.017718413
679,0.743693131,3.879149499,0.121445825,173.7136564,0.279483561,6.555516593,-266.4433108,903.0631387,2673.711015,0.750904723,4.985440964,236.1270978,0.038903328,8.083977035,0.030140795
680,0.759230654,6.670708001,1.230158594,173.6588957,0.147036006,6.411310623,-1111.287841,449.7092417,1965.109508,0.625417369,5.185445649,226.8773131,0.04476849,8.081987463,0.034602805
680,0.711637782,5.602480142,0.355775121,180.1750592,0.214786206,6.487430565,-510.548496,661.2861273,2163.186315,0.697111468,4.951291991,210.7951299,0.058936759,8.08098529,0.057141406
681,0.714445001,5.671031479,0.400590463,178.2390543,0.303431772,6.583172156,-604.5020989,594.8232099,2284.825744,0.681233498,4.799515799,230.1687552,0.074562883,8.080231033,0.055899143
681,0.692058333,6.558450685,1.680196991,153.6906667,0.153058104,6.528178747,-829.6707066,467.610009,1358.960801,0.723670223,5.603124259,226.4748127,0.019291654,8.082845253,0.023894242
