income,gsv_apartments,gsv_commercial,gsv_greenery,gsv_historical,gsv_impervious,gsv_industrial,gsv_other,gsv_private,gsv_water,gsv_hue_mean,gsv_hue_std,gsv_hue_maj,gsv_saturation_mean,gsv_saturation_std,gsv_saturation_maj,gsv_brightness_mean,gsv_brightness_std,gsv_brightness_maj,gsv_entropy_mean,gsv_entropy_std,gsv_entropy_maj,gsv_std_mean,gsv_std_std,gsv_std_maj,gsv_contrast_mean,gsv_contrast_std,gsv_contrast_maj,gsv_dissimilarity_mean,gsv_dissimilarity_std,gsv_dissimilarity_maj,gsv_homogeneity_mean,gsv_homogeneity_std,gsv_homogeneity_maj,gsv_ASM_mean,gsv_ASM_std,gsv_ASM_maj,gsv_energy_mean,gsv_energy_std,gsv_energy_maj,gsv_correlation_mean,gsv_correlation_std,gsv_correlation_maj
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,1,0,0,0,1,0,0,0,0,160.166667,75.888991,211,0.239984,0.055994,0.184257,0.611205,0.122468,0.432028,1.900853,0.092474,1.78835,0.246606,0.027992,0.211798,185.33075,34.535015,140.74905,6.896599,0.822419,5.718658,0.313254,0.050857,0.237899,9.04e-4,3.9e-4,5.34e-4,0.02944,0.006085,0.023117,0.969259,0.012146,0.947315
00-20 low,2,0,0,0,0,0,0,1,0,117.666667,63.887053,71,0.282325,0.100657,0.184511,0.429975,0.019945,0.40177,2.052506,0.038358,1.998457,0.205674,0.023693,0.183791,302.321007,49.068071,233.051501,10.202277,1.331867,8.555729,0.205762,0.040593,0.150004,3.47e-4,1.27e-4,1.69e-4,0.018246,0.003735,0.012997,0.936495,0.013373,0.923382
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,1,0,0,158,59.419413,74,0.102821,0.008836,0.093381,0.568575,0.025514,0.541589,1.97076,0.119636,1.804026,0.188819,0.02324,0.159668,226.202584,46.277614,164.823438,7.895108,0.520229,7.160815,0.227462,0.017179,0.205597,7.34e-4,2.01e-4,5.09e-4,0.026835,0.003699,0.022551,0.948777,0.009044,0.936213
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,2,0,0,0,0,0,0,0,0,94,84.15462,33,0.223787,0.027712,0.202414,0.629922,0.044623,0.58378,2.114285,0.070548,2.016321,0.234905,0.026745,0.211539,435.963082,116.348534,344.272886,12.138327,1.950493,10.506464,0.202472,0.039787,0.148872,3.12e-4,9.8e-5,1.79e-4,0.017427,0.002945,0.013395,0.91635,0.032975,0.877578
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
